DATE	NUMARTS	COUNTTYPE	NUMBER	OBJECTTYPE	GEO_TYPE	GEO_FULLNAME	GEO_COUNTRYCODE	GEO_ADM1CODE	GEO_LAT	GEO_LONG	GEO_FEATUREID	CAMEOEVENTIDS	SOURCES	SOURCEURLS
20160308	2	KILL	2	Italian hostages	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	518986363,518986364,518986365,518986366,518986367,518986368,518986369,518986370,518986371,518986377,518986378,518986380,518986381,518986382,518857533,518986504,518986979,518986980,518986981,518986983,518987346,518987347,518987348,518987349,518856790,518987351,518987352,518870026,518987353,518987355,518887611,518987446,518987447,518987448,518987449,518870184,518987453,518987454,518987455,518986363,518986364,518986365,518986366,518986367,518986368,518986369,518986370,518986371,518986377,518986378,518986380,518986381,518986382,518857533,518986504,518986979,518986980,518986981,518986983,518987346,518987347,518987348,518987349,518856790,518987351,518987352,518870026,518987353,518987355,518887611,518987446,518987447,518987448,518987449,518870184,518987453,518987454,518987455	gazzettadelsud.it;lagazzettadelmezzogiorno.it	http://www.gazzettadelsud.it/news/english/187397/Hostages-bodies-in-Tripoli-midday-says.html<UDIV>http://www.lagazzettadelmezzogiorno.it/news/english/723510/Hostages-bodies-in-Tripoli-midday-says.html
20160308	1	AFFECT	5		4	Brixton, Lambeth, United Kingdom	UK	UKH1	51.4667	-0.1	-2590937		cyprusreporter.com	http://www.cyprusreporter.com/newsdetail/Meet-the-friends-who-help-feed-up-to-300-homeless-people-a-week-11650
20160308	12	KILL	347		2	California, United States	US	USCA	36.17	-119.746	ca	518849500,519119289,519081717	sfgate.com;miamiherald.com;fresnobee.com;sanluisobispo.com;bnd.com;theolympian.com;thenewstribune.com;centredaily.com;wiod.com;charlotteobserver.com;tri-cityherald.com;kansascity.com	http://www.sfgate.com/news/article/Early-data-suggests-pedestrian-deaths-surged-in-6877453.php<UDIV>http://www.miamiherald.com/news/nation-world/national/article64785352.html<UDIV>http://www.fresnobee.com/news/nation-world/national/article64785352.html<UDIV>http://www.sanluisobispo.com/news/nation-world/national/article64785352.html<UDIV>http://www.bnd.com/news/nation-world/national/article64785352.html<UDIV>http://www.theolympian.com/news/nation-world/national/article64785352.html<UDIV>http://www.thenewstribune.com/news/nation-world/national/article64785352.html<UDIV>http://www.centredaily.com/news/nation-world/national/article64785352.html<UDIV>http://www.wiod.com/articles/wiodam-local-news-122821/florida-tops-pedestrian-fatality-ranking-14470083/<UDIV>http://www.charlotteobserver.com/article64785352.html<UDIV>http://www.tri-cityherald.com/latest-news/article64785352.html<UDIV>http://www.kansascity.com/latest-news/article64785352.html
20160308	1	NATURAL_DISASTER_DROWNED	2026		0							518846185	wordpress.com	https://dotseng.wordpress.com/2016/03/08/the-art-of-manliness-learn-to-cook/
20160308	2	CRISISLEX_T03_DEAD	14	injured Authorities said	2	California, United States	US	USCA	36.17	-119.746	ca		sacredheartspectrum.com;sacredheartspectrum.com	http://sacredheartspectrum.com/2016/03/u-s-drone-strike-kills-over-150-militants-in-somalia/<UDIV>http://sacredheartspectrum.com/2016/03/u-s-drone-strike-kills-over-150-militants-in-somalia/
20160308	3	CRISISLEX_T02_INJURED	2	policemen	1	Pakistan	PK	PK	30	70	PK	518888139,518888140,518888263,518888686,518863699,518888733,518888734,518889303,518889865,518889867,518889962,518889968,518848567,518950477,518935552,518893610,518888686,518888733,518902627,518936745,518889865,518889867,518891832,518889962,518889968,518950475,518888263,518891832,518863699,518950991,518888734,518889303,518951933,518889867,518893610,518889968,518952022	arabnews.com;tolonews.com;borneobulletin.com.bn	http://www.arabnews.com/world/news/891691<UDIV>http://www.tolonews.com/en/afghanistan/24129-blast-kills-17-as-pakistani-taliban-avenge-executed-islamist<UDIV>http://borneobulletin.com.bn/blast-kills-13-as-pakistani-taleban-avenge-executed-extremist/
20160308	1	KILL	34		4	Belfast, Belfast, United Kingdom	UK	UKR3	54.5833	-5.93333	-2589607	518966748,518961667,518966750,518966751,518966752,518967405,518967420	belfasttelegraph.co.uk	http://www.belfasttelegraph.co.uk/news/northern-ireland/man-found-dead-in-wigan-canal-was-father-of-thug-ryan-craig-convicted-of-scott-vineer-attack-34519659.html
20160308	2	CRISISLEX_C07_SAFETY	2	teenagers	4	Torpoint, Cornwall, United Kingdom	UK	UKC6	50.375	-4.20083	-2610006	518845896,518845896	plymouthherald.co.uk;plymouthherald.co.uk	http://www.plymouthherald.co.uk/BREAKING-Gangs-youths-suspected-disrupting/story-28884782-detail/story.html<UDIV>http://www.plymouthherald.co.uk/BREAKING-Gangs-youths-suspected-disrupting/story-28884782-detail/story.html
20160308	2	CRISISLEX_T03_DEAD	46		2	Iowa, United States	US	USIA	42.0046	-93.214	ia		agriview.com;agriview.com	http://www.agriview.com/briefs/crop/fewer-entrapments-shown-likely-underreported/article_6df7e4e9-c279-511f-ab73-078deb8d012a.html<UDIV>http://www.agriview.com/briefs/crop/fewer-entrapments-shown-likely-underreported/article_6df7e4e9-c279-511f-ab73-078deb8d012a.html
20160308	7	KILL	9		4	Baidoa, Bay, Somalia	SO	SO04	3.11383	43.6498	-3216356	518911654,518911655,518945440,518945441,518945679,518911940,518911941,518911950,518911951,518911952,518913017,518913018,518913019,518913020,518913021,518947034,518947383,518947384,518947385,518911654,518911808,518911809,518945679,518911940,518911941,518911950,518911951,518911952,518913017,518913018,518913019,518913020,518913021,518947034,518913027,518886656,518911654,518911808,518911809,518945679,518911940,518911941,518911950,518911951,518911952,518913017,518913018,518913019,518913020,518913021,518947034,518913027,518886656,518911654,518911808,518911809,518945679,518911940,518911941,518911950,518911951,518911952,518913017,518913018,518913019,518913020,518913021,518947034,518913027,518886656,519030263,519030364,519031696,519031697,519031698,519031699,519032036,519032133,519032143,519032145,519032146,519032147,519032148,519030263,519030364,519031696,519031697,519031698,519031699,519032036,519032133,519032143,519032145,519032146,519032147,519032148,519030263,519030364,519031696,519031697,519031698,519031699,519032036,519032133,519032143,519032145,519032146,519032147,519032148	znbc.co.zm;starrfmonline.com;ghanamma.com;citifmonline.com;bbc.co.uk;bbc.com;onlinenigeria.com	http://www.znbc.co.zm/?p=32636<UDIV>http://www.starrfmonline.com/1.8764577<UDIV>http://www.ghanamma.com/us-air-strike-kills-150-somali-militants/<UDIV>http://citifmonline.com/2016/03/08/us-air-strike-kills-150-somali-militants/<UDIV>http://www.bbc.co.uk/news/world-africa-35753866<UDIV>http://www.bbc.com/news/world-africa-35753866<UDIV>http://usa.onlinenigeria.com/usa-home/127683-us-exaggerated-al-shabab-deaths.html
20160308	1	ARREST	34		1	Norway	NO	NO	62	10	NO	519003107,519003108,519003830	euractiv.com	http://www.euractiv.com/section/uk-europe/news/britain-is-eus-capital-of-prisons/
20160308	2	AFFECT	5000000	breast cancer	1	United States	US	US	38	-97	US		williamsnews.com;williamsnews.com	http://williamsnews.com/main.asp?SectionID=36&SubSectionID=767&TM=42195.76<UDIV>http://williamsnews.com/main.asp?SectionID=36&SubSectionID=767&TM=59942.79
20160308	1	SOC_GENERALCRIME	80		2	Nebraska, United States	US	USNE	41.1289	-98.2883	ne		fortmorgantimes.com	http://www.fortmorgantimes.com/fort-morgan-police/ci_29608079/blotter-morgan-county-sheriff-and-colorado-state-patrol
20160308	2	AFFECT	350		1	United Kingdom	UK	UK	54	-2	UK	518932548,518932549,518932550,516689972,518932588,516690592,518932591,518932600,518932602,518932819,518932820,518932823,518932824,518932952,518932953,518933069,518933251,518933252,518933253,518933255,518933256,518933257,518933258,518933820,518933821,518933829,518933830,518933831,518933845,518860618,518933979,518933980,518934070,518934071,518934093,518934094,518934095,518932548,518932549,518932550,516689972,518932588,516690592,518932591,518932600,518932602,518932819,518932820,518932823,518932824,518932952,518932953,518933069,518933251,518933252,518933253,518933255,518933256,518933257,518933258,518933820,518933821,518933829,518933830,518933831,518933845,518860618,518933979,518933980,518934070,518934071,518934093,518934094,518934095	wsws.org;wsws.org	http://www.wsws.org/en/articles/2016/03/08/fiji-m08.html<UDIV>https://www.wsws.org/en/articles/2016/03/08/fiji-m08.html
20160308	1	AFFECT	60		1	China	CH	CH	35	105	CH	519083941,518935165,519085099,518855867	rinf.com	http://rinf.com/alt-news/newswire/usw-ati-contract-imposes-health-care-pension-cuts-casualized-labor/
20160308	1	SOC_GENERALCRIME	300		4	Johannesburg, Gauteng, South Africa	SF	SF06	-26.2	28.0833	-1240261		ewn.co.za	http://ewn.co.za/2016/03/08/Nigel-home-affairs-arrested-for-fraud
20160308	1	SOC_GENERALCRIME	7	Police	4	Bass Hill, New South Wales, Australia	AS	AS02	-33.9667	151	-1557826		dailytelegraph.com.au	http://www.dailytelegraph.com.au/news/nsw/teens-arrested-after-bass-hill-shopping-centre-brawl/news-story/338ee2d4d1a47ab27105ccf40640f83f?nk=7d276e7fef24946953263c8225ccbf47-1457427786
20160308	1	AFFECT	6	taking pictures	0								androidheadlines.com	http://www.androidheadlines.com/2016/03/featured-review-verus-high-pro-shield-for-the-nexus-6p.html
20160308	1	SOC_GENERALCRIME	2	men	4	Belfast, Belfast, United Kingdom	UK	UKR3	54.5833	-5.93333	-2589607	519062147,518967107,518846478,518970179,518939779,519019402,518918258	irishnews.com	http://www.irishnews.com/news/2016/03/09/news/west-belfast-shooting-is-linked-to-a-feud-court-is-told-443699/
20160308	2	AFFECT	2	Syrian	1	Syria	SY	SY	35	38	SY	518986401,518986424,518959818,519039564,519040389	icelandmonitor.mbl.is;grapevine.is	http://icelandmonitor.mbl.is/news/politics_and_society/2016/03/08/syrian_asylum_seekers_not_deported_today/<UDIV>http://grapevine.is/news/2016/03/08/deportation-delayed-for-the-time-being/
20160308	1	PROTEST	30	batters	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587		bleachernation.com	http://www.bleachernation.com/2016/03/07/teams-reportedly-contacting-cubs-about-travis-wood-but-he-could-be-too-valuable-to-move/
